ID,ATTi1,ATTi1R,ATTi2,ATTi3,ATTc1,ATTc1R,ATTc2,ATTc3,PNA1_t1,PNA2_t1,PNA3_t1,PNA4_t1,PNA5_t1,PNA6_t1,PNA7_t1,PNA8_t1,PNA9_t1,PNA10_t1,PNA11_t1,PNA12_t1,MMX1_t1,MMX2_t1,MMX3_t1,MMX4_t1,MMX5_t1,KSI1_t1,KSI2_t1,KSI3_t1,KSI4_t1,CS1_t1,CS2_t1,CS3_t1,WE1_t1,WE2_t1,WE3_t1,WE4_t1,WE5_t1,WE6_t1,WE7_t1,WE8_t1,WE9_t1,SD1_t1,SD2_t1,SD3_t1,SD4_t1,SD5_t1,PA_life_t1,PA_health_t1,PA_work_t1,JD1,JD2,JD3,JD4,JD4_R,JD5,KN1,KN2,KN3,KN4,TD1,TD2,TD3,OPEN1,OPEN2,OPEN3,IDg1_t1,IDw1_t1,IDg2_t1,IDw2_t1,age_t1,gender_t1,edu_t1,SO_t1,COMexp_year,COMexp_mon,GOUexp_year,GOUexp_mon,GOU_n,level,level_2,IND,IND_other,SS1,SS2,BJW1,BJW2,BJW3,BJW4,BJW5,BJW6,PNA1_t2,PNA3_t2,PNA5_t2,PNA6_t2,PNA7_t2,PNA8_t2,PNA9_t2,PNA10_t2,PNA11_t2,PNA12_t2,MMX1_t2,MMX2_t2,MMX3_t2,MMX4_t2,MMX5_t2,KSI1_t2,KSI2_t2,KSI3_t2,KSI4_t2,CS1_t2,CS2_t2,CS3_t2,WE1_t2,WE2_t2,WE3_t2,WE4_t2,WE5_t2,WE6_t2,WE7_t2,WE8_t2,WE9_t2,PA_life_t2,PA_health_t2,PA_work_t2,BSRS1,BSRS2,BSRS3,BSRS4,BSRS5,SE1,SE2,SE2_R,SD1_t2,SD2_t2,SD3_t2,SD4_t2,SD5_t2,LON1,LON2,LON3,LON3_R,LON4,LON5,LON6,LON6_R,LON7,LON8,IDg1_t2,IDw1_t2,IDg2_t2,IDw2_t2,VOTE1,VOTE1_other,VOTE2,VOTE3,VOTE4,age_t2,gender_t2,edu_t2,SO_t2,REL,mPA_t1_4,mPA_t1_6,mNA_t1,mMMX_t1,mKSI_t1,mCS_t1,mWE_t1,mSD_t1,mJD_t1,mKN_t1,mTD_t1,mOPEN_t1,mSS_t2,mBJW_t2,mPA_t2,mNA_t2,mMMX_t2,mKSI_t2,mCS_t2,mWE_t2,mBSRS_t2,mSE_t2,mSD_t2,mLON_t2,xPA,xNA,xMMX,xKSI,xCS,xWE,xSD,xPAlife,xPAhealth,xPAwork,midAtti,midAttc,xsAtti,xyAttic,ysAttc,SOdummy,Wellbeiing_allT1,ATTi_both,ATTc_both,xATT_imc,xATT_ab,absxPA,absxKSI,tenure_group,xPA6,xPA4,mPA_t1
80,5,1.00,1,4,5,1.00,5,3,4,3,3,4,2,3,3,4,1,2,1,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,2,2,3,2,2,4,4,3,3,4,8,3,4,4,4,5,2,4,5,3,3,3,3,2,3,3,3,4,4,4,4,4,5,30,1,6,1,4,2.0,4,2.0,10,1, ,12, ,2,2,4,4,4,4,4,4,4,4,2,4,2,3,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,3,8,3,5,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,5,5,5,4,1, ,2,1,3,30,1,6,1,3,3.00,3.17,2.60,3.80,4.00,4.00,2.78,3.60,4.40,3.00,2.67,3.67,2.00,4.00,3.50,2.40,4.00,4.00,4.00,3.33,3.20,3.50,3.00,2.75,.50,-.20,.20,.00,.00,.56,-.60,.00,.00,1.00,2.00,2.00,4.00,4.00,4.00,1.00,5.00,1.00,3.00,-2.00,2.00,.33,.00,4.17,.33,.50,3.00
158,5,1.00,1,2,1,5.00,1,2,4,5,2,2,2,2,2,2,2,2,5,4,5,5,5,5,4,4,4,5,5,4,4,4,3,4,3,4,3,2,4,4,3,4,4,2,2,3,8,2,3,4,4,4,3,3,5,3,1,1,2,2,3,2,4,5,2,6,6,1,6,38,0,6,1,13,10.0,13,1.0,70,4, ,0,製造,3,2,4,4,3,3,2,1,4,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,7,2,3,4,4,4,2,1,4,1,5,4,4,1,1,1,2,2,4,2,3,3,2,4,4,2,2,5,5,5,1, ,2,1,5,38,0,6,1,4,2.50,2.83,3.00,4.80,4.50,4.00,3.33,3.00,4.00,1.75,2.33,3.67,2.50,2.83,2.00,4.00,4.00,4.00,4.33,4.00,3.00,4.50,2.20,2.75,-.50,1.00,-.80,-.50,.33,.67,-.80,-1.00,.00,.00,2.00,-2.00,4.00,-4.00,4.00,1.00,4.33,1.00,3.00,-2.00,2.00,.83,.50,13.08,-.83,-.50,2.50
55,5,1.00,1,5,4,2.00,4,4,4,4,3,3,4,4,2,2,1,1,2,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,8,3,5,3,3,3,4,2,2,4,4,4,4,2,4,2,5,5,5,6,6,4,5,30,1,6,1,9,5.0,9,5.0,,3, ,4, ,3,3,2,4,4,4,5,2,5,4,3,5,2,1,1,1,2,3,4,4,5,4,4,4,4,4,4,5,5,4,4,4,5,5,5,5,5,4,4,9,3,6,1,2,2,1,2,5,2,4,2,2,2,2,2,1,1,4,2,2,2,4,2,1,1,5,5,5,5,1, ,4,3,4,30,1,6,1,3,3.75,3.67,1.80,4.20,4.00,4.00,4.00,2.00,2.60,4.00,2.67,5.00,3.00,3.50,4.25,1.80,4.20,4.00,4.67,4.56,1.60,4.50,2.00,1.50,.50,.00,.00,.00,.67,.56,.00,1.00,.00,1.00,2.00,1.00,4.00,2.00,1.00,1.00,5.33,1.00,3.00,-2.00,2.00,.58,.00,9.42,.58,.50,3.75
5,5,1.00,1,5,3,3.00,3,1,4,2,2,4,4,2,2,2,2,2,3,1,5,5,5,5,5,4,4,3,4,4,3,3,4,4,2,4,2,2,2,2,2,2,2,1,2,2,9,4,4,2,2,1,4,2,4,5,5,5,5,5,5,5,4,2,4,5,1,5,2,25,1,6,1,1,11.0,1,11.0,4,0,約僱人員,16, ,2,4,1,5,5,5,5,2,4,2,5,5,1,3,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,2,4,2,4,2,1,1,5,1,9,4,3,4,1,1,3,1,5,1,5,3,3,1,1,1,1,1,3,3,2,2,5,1,4,1,6,6,6,3,1, ,5,4,3,24,1,6,1,3,3.00,3.00,2.00,5.00,3.75,3.33,2.67,1.80,2.20,5.00,5.00,3.33,3.00,3.83,4.00,1.40,4.80,5.00,5.00,2.44,2.00,5.00,1.80,1.88,1.00,-.60,-.20,1.25,1.67,-.22,.00,.00,.00,-1.00,2.00,.00,4.00,.00,.00,1.00,5.67,1.00,3.00,-2.00,2.00,1.00,1.25,1.92,1.00,1.00,3.00
126,4,2.00,2,4,3,3.00,4,3,5,4,2,3,4,5,2,5,1,1,3,4,4,5,4,5,2,4,4,4,5,4,4,4,4,4,5,5,4,3,5,4,4,3,4,2,2,2,7,2,5,5,3,5,3,3,4,3,2,3,4,4,4,3,3,3,2,5,5,6,4,24,1,7,1,0,3.0,0,3.0,10,2, ,12, ,1,1,2,4,4,3,2,4,5,5,4,4,3,3,2,2,3,5,4,4,3,5,4,2,3,3,5,3,3,3,3,4,4,4,3,2,5,3,4,7,3,6,2,2,3,2,2,5,1,5,3,3,2,2,2,1,1,4,2,1,2,5,1,4,3,6,5,5,4,1, ,1,4,2,24,1,7,1,3,4.00,3.83,3.00,4.00,4.25,4.00,4.22,2.60,4.00,3.00,3.67,2.67,1.00,3.17,4.50,3.20,4.00,3.25,3.00,3.56,2.20,5.00,2.40,1.88,.50,.20,.00,-1.00,-1.00,-.67,-.20,.00,1.00,1.00,1.00,.00,1.00,.00,.00,1.00,4.67,2.00,3.50,-1.50,1.50,.67,1.00,.25,.67,.50,4.00
155,5,1.00,2,4,4,2.00,4,5,4,4,4,4,4,4,3,3,2,2,2,3,5,5,5,5,5,5,5,4,5,5,4,4,4,4,3,4,4,2,4,3,3,2,2,1,2,2,9,3,5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,46,1,7,1,26,2.0,26,2.0,100,3, ,12, ,4,4,3,3,3,4,2,3,3,4,3,4,2,1,2,2,2,2,5,5,4,3,3,5,5,4,5,5,5,5,4,4,4,4,4,2,3,3,3,8,3,5,2,1,1,1,1,4,2,4,2,2,2,2,2,1,1,4,2,1,1,5,1,1,1,5,5,4,5,1, ,2,2,3,46,1,7,1,2,4.00,4.00,2.60,5.00,4.75,4.33,3.44,1.80,4.00,4.00,4.00,4.00,4.00,3.00,3.50,1.80,4.00,4.75,5.00,3.44,1.20,4.00,2.00,1.13,-.50,-.80,-1.00,.00,.67,.00,.20,-1.00,.00,.00,2.00,1.00,4.00,2.00,1.00,1.00,5.67,1.50,3.00,-1.50,1.50,.50,.00,26.17,-.50,-.50,4.00
96,5,1.00,2,5,4,2.00,4,4,3,3,4,4,2,4,3,3,2,3,2,3,4,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,3,3,2,2,2,3,2,8,3,6,4,2,2,4,2,4,4,4,4,4,4,4,3,4,4,4,5,5,4,4,27,1,6,1,0,2.0,0,2.0,4,1, ,9, ,3,3,3,3,4,3,3,3,3,3,2,2,3,3,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,5,3,4,2,2,2,2,2,4,3,3,3,3,3,3,3,2,2,4,2,2,2,4,2,2,3,4,4,4,4,1, ,3,3,3,27,1,7,1,3,3.25,3.33,2.60,4.40,3.75,4.00,3.56,2.20,2.80,4.00,3.67,4.00,3.00,3.17,2.50,2.60,4.00,4.00,4.00,3.44,2.00,3.50,3.00,2.13,-.75,.00,-.40,.25,.00,-.11,.80,-3.00,.00,-2.00,2.00,1.00,4.00,2.00,1.00,1.00,5.67,1.50,3.00,-1.50,1.50,.83,.25,.17,-.83,-.75,3.25
105,5,1.00,2,4,4,2.00,3,4,4,4,4,4,4,4,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,2,2,2,8,3,6,4,2,2,4,2,3,4,4,4,4,3,3,3,4,4,4,5,5,5,5,37,0,7,1,7,6.0,4,5.0,60,1, ,0,汽車研發,3,3,4,4,4,4,4,3,4,4,4,4,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,7,3,6,1,1,1,2,1,4,2,4,3,3,2,2,2,3,1,4,2,3,3,4,2,1,3,5,5,5,5,2, ,1,3,1,36,0,7,1,6,4.00,4.00,2.20,4.00,4.00,4.00,3.78,2.40,2.60,4.00,3.00,4.00,3.00,3.83,4.00,2.40,4.00,4.00,4.00,3.78,1.20,4.00,2.40,2.25,.00,.20,.00,.00,.00,.00,.00,-1.00,.00,.00,2.00,1.00,4.00,2.00,1.00,1.00,5.67,1.50,2.50,-1.00,1.00,.00,.00,4.42,.00,.00,4.00
17,4,2.00,2,2,3,3.00,3,4,3,3,2,3,3,4,5,5,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,1,3,3,3,2,4,3,2,4,4,7,2,5,2,3,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,35,0,6,1,7,7.0,0,7.0,12,1, ,16, ,1,1,2,4,4,3,4,2,3,3,4,3,2,5,1,5,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,2,1,2,3,2,6,2,5,2,3,2,2,2,3,4,2,2,2,1,3,3,2,1,1,5,2,1,3,3,3,2,5,4,3,4,1, ,1,2,2,35,0,6,1,7,3.00,3.00,3.60,4.00,4.00,4.00,2.44,3.40,2.40,4.00,4.00,4.00,1.00,3.17,3.25,2.60,4.00,4.00,4.00,2.22,2.20,2.50,2.20,2.38,.25,-1.00,.00,.00,.00,-.22,-1.20,-1.00,.00,.00,1.00,.00,1.00,.00,.00,1.00,4.67,2.00,3.00,-1.00,1.00,.25,.00,.58,.25,.25,3.00
101,4,2.00,2,3,3,3.00,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,4,3,4,4,4,4,3,4,3,3,3,3,3,4,4,5,3,2,2,1,2,2,7,3,4,5,2,2,4,2,4,2,3,3,3,3,3,2,3,3,3,4,4,5,5,38,0,6,1,15,10.0,15,10.0,250,2, ,1, ,2,2,3,2,2,4,2,4,3,3,3,3,3,3,3,3,4,4,4,4,4,2,2,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,6,3,3,3,2,2,2,2,4,4,2,2,2,2,2,2,2,1,2,4,1,1,4,2,3,4,5,5,5,5,1, ,1,3,2,39,0,6,1,2,3.00,3.00,3.20,3.60,3.75,3.67,3.44,1.80,3.00,2.75,2.67,3.00,2.00,2.83,3.00,3.40,3.20,4.00,3.00,4.00,2.20,3.00,2.00,2.25,.00,.20,-.40,.25,-.67,.56,.20,-1.00,.00,-1.00,1.00,.00,1.00,.00,.00,1.00,4.67,2.00,3.00,-1.00,1.00,.00,.25,15.83,.00,.00,3.00
