臺北市,"2,175,986 ","1,021,343 ","1,154,643 ","306,992 ","155,680 ","151,312 ","452,654 ","212,446 ","240,208 ","411,377 ","190,218 ","221,159 ","411,687 ","191,299 ","220,388 ","330,413 ","153,434 ","176,979 ","158,436 ","69,096 ","89,340 ","84,689 ","39,299 ","45,390 ","19,738 ","9,871 ","9,867 "
新北市,"3,204,367 ","1,553,145 ","1,651,222 ","550,282 ","284,595 ","265,687 ","686,160 ","338,849 ","347,311 ","628,402 ","303,989 ","324,413 ","638,806 ","299,622 ","339,184 ","436,284 ","204,451 ","231,833 ","174,013 ","78,369 ","95,644 ","75,487 ","35,814 ","39,673 ","14,933 ","7,456 ","7,477 "
桃園市,"1,627,598 ","803,801 ","823,797 ","299,703 ","155,715 ","143,988 ","367,505 ","181,974 ","185,531 ","334,316 ","164,273 ","170,043 ","304,956 ","148,931 ","156,025 ","188,081 ","88,785 ","99,296 ","81,492 ","35,905 ","45,587 ","43,629 ","23,940 ","19,689 ","7,916 ","4,278 ","3,638 "
臺中市,"2,138,519 ","1,042,321 ","1,096,198 ","395,105 ","203,938 ","191,167 ","472,794 ","232,836 ","239,958 ","424,417 ","203,084 ","221,333 ","402,570 ","193,581 ","208,989 ","260,503 ","124,884 ","135,619 ","118,083 ","53,410 ","64,673 ","56,075 ","26,325 ","29,750 ","8,972 ","4,263 ","4,709 "
臺南市,"1,528,246 ","757,741 ","770,505 ","255,094 ","131,908 ","123,186 ","316,737 ","159,309 ","157,428 ","284,794 ","140,784 ","144,010 ","300,984 ","150,841 ","150,143 ","202,053 ","99,860 ","102,193 ","103,984 ","47,185 ","56,799 ","56,356 ","24,570 ","31,786 ","8,244 ","3,284 ","4,960 "
高雄市,"2,254,324 ","1,109,088 ","1,145,236 ","370,828 ","192,197 ","178,631 ","464,999 ","231,905 ","233,094 ","441,390 ","218,686 ","222,704 ","432,357 ","210,594 ","221,763 ","319,800 ","151,704 ","168,096 ","148,312 ","67,287 ","81,025 ","66,412 ","31,755 ","34,657 ","10,226 ","4,960 ","5,266 "
新竹縣,"412,731 ","209,855 ","202,876 ","71,881 ","37,473 ","34,408 ","92,344 ","45,662 ","46,682 ","86,640 ","44,729 ","41,911 ","72,623 ","38,232 ","34,391 ","44,755 ","22,572 ","22,183 ","27,658 ","13,315 ","14,343 ","14,450 ","6,868 ","7,582 ","2,380 ","1,004 ","1,376 "
苗栗縣,"448,520 ","230,277 ","218,243 ","79,716 ","41,376 ","38,340 ","90,794 ","46,446 ","44,348 ","79,969 ","42,396 ","37,573 ","83,160 ","43,986 ","39,174 ","56,640 ","28,847 ","27,793 ","35,216 ","17,158 ","18,058 ","19,909 ","8,908 ","11,001 ","3,116 ","1,160 ","1,956 "
彰化縣,"1,022,962 ","519,217 ","503,745 ","185,268 ","96,907 ","88,361 ","215,099 ","110,503 ","104,596 ","180,901 ","94,089 ","86,812 ","187,167 ","97,017 ","90,150 ","130,532 ","65,685 ","64,847 ","76,606 ","35,996 ","40,610 ","41,364 ","17,066 ","24,298 ","6,025 ","1,954 ","4,071 "
南投縣,"415,122 ","212,452 ","202,670 ","72,170 ","37,946 ","34,224 ","75,989 ","39,883 ","36,106 ","73,136 ","37,971 ","35,165 ","81,764 ","42,548 ","39,216 ","57,043 ","29,032 ","28,011 ","33,946 ","15,945 ","18,001 ","18,422 ","8,076 ","10,346 ","2,652 ","1,051 ","1,601 "
